                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.66526,                 1.1701,                 1.2109,                0.87008,                0.87268,                0.92709,                0.79898,                0.56544,                0.52917,                 1.1292,               0.004654,               0.004654,               0.004654
                     56,                0.66401,                 1.1603,                 1.2098,                0.87074,                0.87462,                0.92801,                0.80052,                0.56409,                0.52602,                 1.1269,               0.004555,               0.004555,               0.004555
                     57,                0.65871,                  1.144,                 1.2042,                0.87212,                0.87474,                0.92883,                0.80206,                0.56282,                0.52304,                 1.1246,               0.004456,               0.004456,               0.004456
                     58,                0.65624,                 1.1353,                 1.2041,                0.87398,                0.87594,                0.92971,                0.80357,                0.56154,                0.52004,                 1.1225,               0.004357,               0.004357,               0.004357
                     59,                0.65481,                  1.127,                 1.2026,                0.87765,                0.87462,                0.93075,                0.80539,                0.55971,                0.51706,                 1.1202,               0.004258,               0.004258,               0.004258
                     60,                 0.6531,                 1.1176,                 1.2005,                0.87795,                0.87578,                0.93156,                0.80677,                0.55824,                0.51409,                 1.1179,               0.004159,               0.004159,               0.004159
                     61,                  0.649,                 1.1178,                 1.2001,                0.87707,                0.87747,                0.93262,                0.80852,                0.55628,                0.51088,                 1.1155,                0.00406,                0.00406,                0.00406
                     62,                0.64834,                 1.1035,                 1.2002,                0.87876,                0.87864,                0.93341,                0.81031,                0.55481,                0.50842,                 1.1136,               0.003961,               0.003961,               0.003961
                     63,                 0.6428,                 1.0968,                 1.1942,                 0.8815,                0.88017,                0.93441,                0.81168,                0.55298,                 0.5055,                 1.1112,               0.003862,               0.003862,               0.003862
                     64,                0.64488,                  1.086,                 1.1964,                0.88249,                0.88172,                0.93535,                0.81316,                0.55115,                0.50204,                 1.1089,               0.003763,               0.003763,               0.003763
                     65,                0.63905,                 1.0796,                 1.1916,                0.88412,                0.88215,                 0.9364,                0.81467,                0.54929,                0.49912,                 1.1066,               0.003664,               0.003664,               0.003664
                     66,                0.63451,                  1.066,                 1.1893,                0.88614,                0.88195,                0.93729,                0.81645,                0.54721,                0.49601,                 1.1041,               0.003565,               0.003565,               0.003565
                     67,                 0.6299,                 1.0619,                 1.1851,                0.88594,                0.88413,                 0.9383,                0.81795,                0.54534,                0.49353,                 1.1017,               0.003466,               0.003466,               0.003466
                     68,                0.62903,                 1.0445,                 1.1855,                0.88583,                0.88631,                0.93917,                0.81934,                0.54398,                0.49103,                 1.0998,               0.003367,               0.003367,               0.003367
                     69,                0.62655,                 1.0433,                 1.1848,                0.88601,                0.88864,                0.93993,                0.82158,                0.54226,                0.48809,                 1.0977,               0.003268,               0.003268,               0.003268
                     70,                0.62163,                  1.023,                 1.1796,                0.88647,                0.89212,                0.94087,                0.82326,                0.54004,                0.48517,                 1.0953,               0.003169,               0.003169,               0.003169
                     71,                0.62028,                 1.0241,                 1.1801,                 0.8882,                0.89247,                0.94177,                0.82542,                0.53781,                0.48244,                  1.093,                0.00307,                0.00307,                0.00307
                     72,                0.61796,                 1.0096,                 1.1786,                0.89168,                0.89222,                0.94254,                0.82692,                0.53604,                0.47977,                 1.0912,               0.002971,               0.002971,               0.002971
                     73,                0.61615,                  1.008,                 1.1767,                0.89177,                0.89356,                0.94337,                0.82848,                0.53389,                0.47693,                  1.089,               0.002872,               0.002872,               0.002872
                     74,                0.60882,                 0.9963,                 1.1709,                0.89392,                0.89451,                0.94414,                 0.8304,                0.53165,                0.47422,                 1.0864,               0.002773,               0.002773,               0.002773
                     75,                0.61212,                0.99344,                  1.175,                0.89285,                0.89755,                  0.945,                0.83183,                0.52971,                 0.4717,                 1.0843,               0.002674,               0.002674,               0.002674
                     76,                0.60779,                0.97484,                 1.1711,                0.89622,                0.89774,                0.94587,                0.83358,                0.52742,                  0.469,                 1.0817,               0.002575,               0.002575,               0.002575
                     77,                0.60461,                0.96945,                 1.1697,                0.89668,                0.90024,                0.94682,                  0.835,                0.52513,                0.46624,                 1.0794,               0.002476,               0.002476,               0.002476
                     78,                0.59857,                0.95657,                  1.166,                0.89832,                0.90122,                0.94762,                0.83644,                0.52283,                0.46352,                 1.0771,               0.002377,               0.002377,               0.002377
                     79,                0.59389,                0.94415,                 1.1628,                0.89935,                0.90226,                0.94846,                0.83845,                 0.5206,                0.46079,                 1.0749,               0.002278,               0.002278,               0.002278
                     80,                0.59436,                0.94532,                 1.1629,                0.89994,                0.90335,                0.94924,                0.83989,                0.51843,                0.45819,                 1.0725,               0.002179,               0.002179,               0.002179
                     81,                0.58771,                0.93448,                 1.1589,                0.90341,                0.90197,                0.95014,                0.84154,                0.51658,                0.45552,                 1.0707,                0.00208,                0.00208,                0.00208
                     82,                0.58775,                0.93075,                 1.1581,                0.90304,                0.90575,                0.95099,                0.84354,                0.51441,                0.45294,                 1.0684,               0.001981,               0.001981,               0.001981
                     83,                0.58458,                0.91909,                 1.1559,                0.90666,                0.90466,                 0.9517,                0.84501,                0.51223,                0.45067,                 1.0661,               0.001882,               0.001882,               0.001882
                     84,                0.57801,                0.90109,                 1.1524,                0.90786,                0.90689,                0.95243,                0.84671,                0.51061,                0.44823,                 1.0643,               0.001783,               0.001783,               0.001783
